created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Jan 21 05:18:44 +0000 2024;1748938156848947464;"#SeluruhJakartaUntukAMIN  Mayarakat Tanah Abang Jakarta Memasang Baliho Capres/Cawapres Hasil Ijtima Ulama Dan Siap Satu Komando IBHRS Menangkan AMIN (Abah Anies - Cak Imin)   Insya ALLAH Pilpres 2024 AMIN Menang 1 Putaran  #AMINBerkahNKRI #AMINAjaDulu  #AMINSatukanIndonesia https://t.co/j76pept384";0;0;1;1;in;1650516904010760195;1748938156848947464;Hero212_reborn;https://twitter.com/Hero212_reborn/status/1748938156848947464
Sun Jan 21 05:18:05 +0000 2024;1748937990985154836;"Fenomena PSI ini emg sangat absurd dan aneh, wajar PDIP dana kampanye gede karena menang di parlemen.. PSI? Gk pernah lolos tapi biaya nya luar biasa, baliho dimana mana, spanduk dikuasai mereka. Liat manuver mereka geli dan mau muntah aja gtu gk ada gagasan yang di bawa";1;0;1;0;in;495547301;1748937990985154836;finarfin135;https://twitter.com/finarfin135/status/1748937990985154836
Sun Jan 21 05:17:12 +0000 2024;1748937769479799097;"satu hal yang aku suka dari musim copras-capres ini cuman konten "reviu baliho"-nya rereceh di TikTok.";0;0;0;0;in;134646743;1748937769479799097;kickassndoll;https://twitter.com/kickassndoll/status/1748937769479799097
Sun Jan 21 05:16:49 +0000 2024;1748937673425961088;"@cat_a_mine Iyap. Naik motor, pake helm tapi kaca depan dibuka. Ketiban baliho caleg segedhe gaban yang cuma ditanem pake bambu. Ini menurut keterangan bapak2 yang nolongin.";0;0;0;0;in;959735477820469248;1748672212415250550;husnimu_husniku;https://twitter.com/husnimu_husniku/status/1748937673425961088
Sun Jan 21 05:15:06 +0000 2024;1748937241244962937;"Bukti egoisnya manusia adalah memasang baliho atau alat kampanye parpol / caleg sembarang ngga mikirin keselamatan pengguna jalan, keindahan kota, dll. Tp didiemin aja yang salah siapa dong ?";0;0;0;0;in;1737153071845945346;1748937241244962937;OishiMaster03;https://twitter.com/OishiMaster03/status/1748937241244962937
Sun Jan 21 05:14:29 +0000 2024;1748937083560079517;"@leleketpis girls be like: cursing everytime she sees Rajasuck's baliho (I'm the girl)";0;1;1;0;en;624553943;1748931917851090968;nabnabshaf;https://twitter.com/nabnabshaf/status/1748937083560079517
Sun Jan 21 05:11:54 +0000 2024;1748936433958826123;"Minimal kurangin lah baliho di jalan gede. Kayak mau tanggung jawab aja kalo ada yang celaka kek gini";0;0;0;0;in;1552705713633275904;1748936433958826123;wedangit;https://twitter.com/wedangit/status/1748936433958826123
Sun Jan 21 05:11:44 +0000 2024;1748936392439390545;"Sama Baliho aje Takut....😁 https://t.co/BQIKgdyESu";0;0;0;0;in;1183221936848961536;1748936392439390545;Adnanad75579946;https://twitter.com/Adnanad75579946/status/1748936392439390545
Sun Jan 21 05:11:33 +0000 2024;1748936348638314887;"tonggoku dulu skp, trs raklog, ardnireg, kmrin baru aja isp, manuver yg sgt ciamik pasang copot baliho wkwk";0;0;0;0;in;1180331045868060673;1748936348638314887;urpoems_rc;https://twitter.com/urpoems_rc/status/1748936348638314887
Sun Jan 21 05:11:08 +0000 2024;1748936240672698744;"@Kokoh_aliong @psi_id @Uki23 @RajaJuliAntoni Dimana mana ada baliho gambar kaesang dan jokowindg narasi psi partai jokoei. Yah memang psi memang disiapkan jokowi dr jauh2 hari";0;0;0;0;in;1612718952991567872;1748684777560154269;anniething4you;https://twitter.com/anniething4you/status/1748936240672698744
Sun Jan 21 05:11:08 +0000 2024;1748936240509104258;"@psi_id Bagi nasi bungkus nya dong kak, jangan baliho aja kenceng, buat pendukung kok sepi";0;0;0;0;in;1638579145415471104;1748697820436267441;terhunuscinta;https://twitter.com/terhunuscinta/status/1748936240509104258
Sun Jan 21 05:10:51 +0000 2024;1748936172578226478;"@tvOneNews 02 ini ga paslonnya, ga pndukungnya punya markah dn strategi yg sama "playing victim "..mrk yg tk bkin onar, nyabutin baliho paslon lain, nuduh pihak lain pula yg salah..";0;0;0;0;in;1563956377478778880;1748758827313541505;Legislator75;https://twitter.com/Legislator75/status/1748936172578226478
Sun Jan 21 05:09:18 +0000 2024;1748935779970326747;"@DedynurPalakka Laporan Dana kampaye hanya 180.00 tiba-tiba jadi 24 M. 2019 dulu hujat prabowo skrng pemuja. Para pendiri partai ini sdh byk keluar tapi sejak Kaesang anak presiden masuk baliho dimana-mana.";0;0;0;0;in;1705185135946268672;1748686439460778294;M4T4_ANG1N;https://twitter.com/M4T4_ANG1N/status/1748935779970326747
Sun Jan 21 05:08:57 +0000 2024;1748935694255591484;"Klw baliho/baner 01 &amp  03 rusak sementara milik 02 tidak, bgmn menurut logika yg sehat ?  Apa mungkin demit baliho yg rusakkan ?";0;0;0;0;in;1725715783630852096;1748935694255591484;jobajitol;https://twitter.com/jobajitol/status/1748935694255591484
